94 6600 100000 0 0 19 75
12000 16000 0
 15547	   18725      295
 7768	   29026      190
 19100	   28624      593
 3171	   9666       529
 17715	   26341      653
 19632	   29929      509
 22001	   2790       433
 8290	   5161       877
 18498	   8449       481
 15366	   970	      386
 17675	   3706       343
 15296	   23580      384
 6212	   9565       571
 7005	   17721      623
 18438	   16240      715
 12506	   19791      655
 16611	   14910      723
 6302	   5048       423
 11763	   25613      143
  17108	   11792      732
 5815	   19873      639
 3015	   26723      684
 11256	   22081      903
 10935	   19459      192
 19768	   12420      487
 9108	   18743      199
 11979	   4590       557
 14267	   22181      462
 16164	   11504      255
 18794	   27991      523
 12812	   15983      727
 15000	   4302       343
 6900	   1466       324
 19687	   9509       664
 2212	   10952      404
 1027	   11566      237
 3868	   27702      109
 23964	   8693       416
 16074	   4540       796
 8526	   28668      947
 19246	   14904      409
 19517	   10237      777
 18011	   11792      499
 1389	   10650      463
 16927	   8116       418
 18523	   28831      755
 20480	   17401      720
 15512	   2558       393
 9088	   22382      342
 8877	   19873      539
 11376	   6761       445
 15070	   19082      545
 7622	   13097      579
 2473	   28405      743
 2593	   24565      286
 11958	   15619      500
 706	   24603      920
 11768	   9120       556
 6307	   26209      440
 18352	   6861       469
 23953	   12294      585
 375	   7062       583
 10132	   26385      507
 21865	   8204       452
 17539	   21215      558
 4189	   7627       422
 2523	   9785       288
 10955	   3988       247
 17640	   6058       444
 11386	   25506      276
 19376	   22156      375
 21514	   9960       654
 11868	   11868      840
 9860	   15745      539
 305	   18191      581
 17439	   10814      271
 12681	   24038      554
 12069	   23034      612
 5765	   12583      701
 10624	   21240      906
 7974	   27263      576
 5344	   2771       501
 23652	   20726      331
 12962	   26636      753
 9359	   6234       715
 2142	   29998      604
 17861	   27313      669
 12912	   11692      812
 5293	   6698       362
 14358	   29760      515
 566	   17740      521
 22367	   21805      875
 7672	   12997      920
 5886	   16397      842
 
