150 8500 100000 0 0 50 100
12000 16000 0
 1725	    21949	  820
 22443	    15651	  291
 11622	    7533	  344
 14613	    7181	  244
 771	    10569	  714
 18508	    15099	  311
 16029	    5701	  267
 20666	    29528	  638
 7898	    29590	  362
 7557	    11209	  594
 22533	    27056	  548
 13861	    10795	  307
 10578	    3881	  382
 1625	    19201	  335
 18608	    26115	  394
 5670	    26554	  631
 21409	    9013	  755
 12465	    23593	  341
 16852	    18097	  206
 8410	    1322	  417
 3863	    29503	  693
 4114	    9954	  606
 4736	    18223	  577
 9835	    10318	  268
 18257	    20218	  396
 12606	    23154	  738
 18578	    11360	  709
 22262	    8762	  577
 4626	    26730	  264
 1976	    18060	  334
 22413	    12376	  410
 9725	    11171	  352
 22724	    3555	  292
 8260	    9540	  589
 3994	    6140	  268
 7979	    3116	  190
 12867	    25914	  482
 19211	    12464	  711
 23637	    8223	  491
 5058	    28762	  290
 10809	    18674	  434
 23427	    12401	  490
 20817	    3141	  878
 12997	    14032	  451
 4586	    26704	  147
 8099	    24220	  334
 8129	    5763	  420
 19833	    3442	  680
 6232	    5575	  628
 10107	    2438	  239
 16967	      11617	    734
 5956	      19697	    648
 3155	      26548	    684
 11396	      21905	    903
 11075	      19634	    187
 19908	      12595	    490
 9248	      18568	    195
 11838	      4766	    357
 14408	      22006	    457
 16024	      11328	    250
 18654	      27815	    525
 12952	      16159	    720
 14859	      4477	    340
 6759	      1642	    328
 19547	      9684	    667
 2352	      11127	    402
 1168	      11742	    240
 3728	      27526	    109
 23823	      8869	    414
 15933	      4364	    796
 8385	      28844	    943
 19105	      14728	    406
 19376	      10061	    777
 18152	      11617	    501
 1248	      10826	    465
 17068	      8292	    418
 18382	      29007	    752
 20621	      17225	    913
 15371	      2382	    398
 9228	      22558	    538
 8736	      20048	    546
 11517	      6585	    448
 14929	      19258	    545
 7763	      12922	    577
 2613	      28229	    748
 2734	      24741	    290
 12099	      15795	    498
 566	      24779	    927
 11627	      9296	    558
 6167	      26033	    445
 18212	      7037	    469
 23813	      12118	    583
 234	      7238	    579
 10272	      26209	    510
 22006	      8028	    452
 17680	      21039	    558
 4049	      7802	    420
 2382	      9960	    284
 11095	      4164	    249
 17499	      5883	    446
 11246	      25331	    272
 19236	      22332	    382
 21374	      9785	    652
 12009	      12043	    840
 10001	      15569	    534
 445	      18016	    585
 17298	      10638	    276
 12822	      23863	    549
 11928	      23210	    617
 5906	      12407	    701
 10483	      21065	    908
 7833	      27087	    576
 5484	      2947	    505
 23793	      20550	    329
 13103	      26460	    753
 9499	      6410	    710
 2001	      374	    602
 18001	      27489	    674
 13053	      11868	    805
 5434	      6522	    353
 14217	      29584	    519
 425	      17564	    525
 22227	      21981	    882
 7532	      13173	    918
 5745	      16573	    842
 7522	      6523	    495
 5083	      11843	    769
 4249	      10701	    195
 12762	      5833	    581
 2905	      8706	    175
 21233	      26497	    456
 7482	      14151	    381
 22879	      12407	    132
 22468	      9860	    364
 10573	      20989	    765
 4842	      8919	    279
 556	      20989	    497
 6669	      24678	    667
 9278	      10362	    482
 8505	      9697	    485
 5404	      17326	    871
 15120	      7853	    485
 5524	      9659	    812
 6648	      1529	    614
 1881	      16109	    662
 11999	      4427	    814
 11206	      3925	    758
 11165	      29810	    848
 1600	      2031	    261
 9198	      349	    254
 
