 150 6000 100000 0 0 75 75
 12000 16000 0
 21278	     27583	   384
 16631	     26843	   177
 6603	     15136	   284
 17665	     14960	   317
 11271	     20506	   346
 16320	     12702	   490
 21610	     4258	   525
 10889	     25412	   457
 359	     17219	   772
 23878	     28699	   373
 5389	     20130	   627
 6001	     28787	   569
 23697	     3292	   457
 3622	     406	   410
 17976	     17620	   204
 15035	     9954	   440
 22483	     23593	   608
 15025	     2690	   416
 23406	     11949	   432
 2026	     14132	   479
 7707	     3342	   619
 22403	     20067	   377
 9996	     17984	   723
 2729	     26541	   671
 16250	     17056	   497
 13509	     8461	   704
 13218	     20594	   476
 5178	     1698	   232
 11301	     19954	   429
 380	     12037	   597
 21389	     5350	   496
 21690	     14822	   556
 5459	     27257	   631
 19331	     16015	   648
 22262	     16416	   575
 16019	     20782	   438
 10478	     23480	   295
 10116	     5262	   664
 4154	     9365	   520
 399	     5149	   283
 14111	     24195	   612
 8771	     25349	   643
 2819	     29063	   327
 10548	     12087	   92
 4957	     13919	   405
 3331	     795	   385
 6573	     381	   598
 10538	     27169	   461
 18488	     8223	   252
 5830	     6818	   487
 3171	     28185	   529
 12204	     5262	   596
 19020	     21272	   364
 4305	     27934	   351
 4646	     8047	   321
 4144	     21234	   699
 18307	     8988	   339
 10227	     20067	   580
 22754	     14484	   375
 21549	     29954	   551
 4385	     15538	   376
 12475	     27382	   565
 21810	     2715	   495
 5017	     16993	   578
 13569	     26491	   277
 22242	     5099	   522
 13850	     17608	   475
 14583	     26868	   756
 9615	     26717	   438
 4124	     28085	   632
 10910	     14383	   521
 13720	     14797	   502
 4275	     1083	   462
 17876	     21911	   512
 741	     7558	   425
  10202	     6987	  709
 5032	     22457	  418
 8214	     6874	  660
 22578	     9622	  681
 4240	     14917	  765
 19196	     15268	  664
 14518	     28806	  773
 23231	     22395	  731
 7502	     17552	  435
 15241	     14264	  424
 23853	     8317	  297
 275	     3699	  496
 8164	     29935	  313
 5906	     4139	  300
 957	     20099	  638
 13605	     28932	  172
 18403	     7112	  810
 3085	     287	  482
 5163	     19195	  190
 3115	     22432	  564
 1831	     24126	  320
 18393	     17752	  378
 646	     20299	  555
 5263	     29597	  75
 18623	     6021	  840
 16285	     10876	  392
 23582	     9157	  528
 7662	     5117	  91
 8676	     27840	  370
 8375	     25406	  917
 14147	     311	  518
 22488	     24389	  621
 8164	     14628	  317
 6839	     15682	  149
 7953	     8555	  519
 13916	     12457	  261
 5263	     11077	  875
 23853	     27451	  297
 16897	     19534	  534
 17560	     14013	  421
 11587	     2231	  445
 23030	     15055	  559
 5434	     17388	  360
 21313	     14101	  81
 15311	     3486	  422
 16827	     23888	  733
 9459	     17865	  401
 13635	     27765	  459
 4330	     29534	  224
 16857	     8643	  618
 16586	     5657	  652
 6418	     10048	  751
 14819	     5419	  627
 11296	     14716	  215
 15271	     25807	  513
 11557	     5996	  359
 10674	     5832	  449
 12039	     26799	  326
 17128	     3361	  593
 16947	     299	  275
 3788	     16523	  276
 7261	     29935	  750
 10613	     13361	  477
 11045	     8354	  507
 6337	     21830	  528
 8857	     9170	  487
 7341	     10500	  578
 5183	     15205	  247
 6217	     7150	  387
 4721	     9546	  332
 19487	     9822	  691
 11818	     5544	  99
 15602	     17175	  254
 7030	     15757	  497
 10945	     26723	  421
 
