 X DISTANCE      Y DISTANCE    NUMBER OF NODES 
  100.00            90.00       100
 DEPOT X           DEPOT  Y	
   35.00              35.00    	
   NODE	ST 			X  	   Y       DEMAND   EAR     LAT        SERVICE 
   1		   0		  41		  49		  10		  161		 171		   10	 
   2		   1		  35		  17		   7		   50		  60		   10	 
   3		   1		  55		  45		  13		  116		 126		   10	 
   4		   0		  55		  20		  19		  149		 159		   10	 
   5		   1		  15		  30		  26		   34		  44		   10	 
   6		   0		  25		  30		   3		   99		 109		   10	 
   7		   0		  20		  50		   5		   81		  91		   10	 
   8		   1		  10		  43		   9		   95		 105		   10	 
   9		   0		  55		  60		  16		   97		 107		   10	 
  10		   1		  30		  60		  16		  124		 134		   10	 
  11		   0		  20		  65		  12		   67		  77		   10	 
  12		   1		  50		  35		  19		   63		  73		   10	 
  13		   1		  30		  25		  23		  159		 169		   10	 
  14		   0		  15		  10		  20		   32		  42		   10	 
  15		   1		  30		   5		   8		   61		  71		   10	 
  16		   1		  10		  20		  19		   75		  85		   10	 
  17		   1		   5		  30		   2		  157		 167		   10	 
  18		   1		  20		  40		  12		   87		  97		   10	 
  19		   0		  15		  60		  17		   76		  86		   10	 
  20		   0		  45		  65		   9		  126		 136		   10	 
  21		   0		  45		  20		  11		   62		  72		   10	 
  22		   0		  45		  10		  18		   97		 107		   10	 
  23		   0		  55		   5		  29		   68		  78		   10	 
  24		   0		  65		  35		   3		  153		 163		   10	 
  25		   1		  65		  20		   6		  172		 182		   10	 
  26		   1		  45		  30		  17		  132		 142		   10	 
  27		   1		  35		  40		  16		   37		  47		   10	 
  28		   0		  41		  37		  16		   39		  49		   10	 
  29		   1		  64		  42		   9		   63		  73		   10	 
  30		   1		  40		  60		  21		   71		  81		   10	 
  31		   1		  31		  52		  27		   50		  60		   10	 
  32		   1		  35		  69		  23		  141		 151		   10	 
  33		   0		  53		  52		  11		   37		  47		   10	 
  34		   0		  65		  55		  14		  117		 127		   10	 
  35		   0		  63		  65		   8		  143		 153		   10	 
  36		   0		   2		  60		   5		   41		  51		   10	 
  37		   0		  20		  20		   8		  134		 144		   10	 
  38		   0		   5		   5		  16		   83		  93		   10	 
  39		   0		  60		  12		  31		   44		  54		   10	 
  40		   1		  40		  25		   9		   85		  95		   10	 
  41		   0		  42		   7		   5		   97		 107		   10	 
  42		   0		  24		  12		   5		   31		  41		   10	 
  43		   1		  23		   3		   7		  132		 142		   10	 
  44		   1		  11		  14		  18		   69		  79		   10	 
  45		   0		   6		  38		  16		   32		  42		   10	 
  46		   0		   2		  48		   1		  117		 127		   10	 
  47		   1		   8		  56		  27		   51		  61		   10	 
  48		   1		  13		  52		  36		  165		 175		   10	 
  49		   0		   6		  68		  30		  108		 118		   10	 
  50		   1		  47		  47		  13		  124		 134		   10	 
  51		   0		  49		  58		  10		   88		  98		   10	 
  52		   0		  27		  43		   9		   52		  62		   10	 
  53		   1		  37		  31		  14		   95		 105		   10	 
  54		   1		  57		  29		  18		  140		 150		   10	 
  55		   1		  63		  23		   2		  136		 146		   10	 
  56		   0		  53		  12		   6		  130		 140		   10	 
  57		   0		  32		  12		   7		  101		 111		   10	 
  58		   0		  36		  26		  18		  200		 210		   10	 
  59		   1		  21		  24		  28		   18		  28		   10	 
  60		   0		  17		  34		   3		  162		 172		   10	 
  61		   1		  12		  24		  13		   76		  86		   10	 
  62		   1		  24		  58		  19		   58		  68		   10	 
  63		   0		  27		  69		  10		   34		  44		   10	 
  64		   0		  15		  77		   9		   73		  83		   10	 
  65		   1		  62		  77		  20		   51		  61		   10	 
  66		   0		  49		  73		  25		  127		 137		   10	 
  67		   0		  67		   5		  25		   83		  93		   10	 
  68		   0		  56		  39		  36		  142		 152		   10	 
  69		   1		  37		  47		   6		   50		  60		   10	 
  70		   0		  37		  56		   5		  182		 192		   10	 
  71		   0		  57		  68		  15		   77		  87		   10	 
  72		   1		  47		  16		  25		   35		  45		   10	 
  73		   1		  44		  17		   9		   78		  88		   10	 
  74		   1		  46		  13		   8		  149		 159		   10	 
  75		   1		  49		  11		  18		   69		  79		   10	 
  76		   1		  49		  42		  13		   73		  83		   10	 
  77		   0		  53		  43		  14		  179		 189		   10	 
  78		   0		  61		  52		   3		   96		 106		   10	 
  79		   1		  57		  48		  23		   92		 102		   10	 
  80		   0		  56		  37		   6		  182		 192		   10	 
  81		   1		  55		  54		  26		   94		 104		   10	 
  82		   0		  15		  47		  16		   55		  65		   10	 
  83		   1		  14		  37		  11		   44		  54		   10	 
  84		   1		  11		  31		   7		  101		 111		   10	 
  85		   1		  16		  22		  41		   91		 101		   10	 
  86		   1		   4		  18		  35		   94		 104		   10	 
  87		   0		  28		  18		  26		   93		 103		   10	 
  88		   0		  26		  52		   9		   74		  84		   10	 
  89		   1		  26		  35		  15		  176		 186		   10	 
  90		   0		  31		  67		   3		   95		 105		   10	 
  91		   0		  15		  19		   1		  160		 170		   10	 
  92		   1		  22		  22		   2		   18		  28		   10	 
  93		   1		  18		  24		  22		  188		 198		   10	 
  94		   0		  26		  27		  27		  100		 110		   10	 
  95		   0		  25		  24		  20		   39		  49		   10	 
  96		   1		  22		  27		  11		  135		 145		   10	 
  97		   1		  25		  21		  12		  133		 143		   10	 
  98		   0		  19		  21		  10		   58		  68		   10	 
  99		   0		  20		  26		   9		   83		  93		   10	 
 100		   0		  18		  18		  17		  185		 195		   10	 
